label	text_a
1	你 的 生日 在 ？ 月 ？ 日
1	听说 你 是 一个 暖男 ， 是 吗 ？
1	你 找茬 的 吧
1	归根到 东 等 上
1	我们 在 有 豪华 车 不用 出去
1	你 猜 我 一米 多少
0	说 的 就是 你 听 不懂 人 话 不要 乱 回答
1	你 刚刚 发 的 照片 是 什么
1	你 在 你 住
1	不 聊了再见 我 有 事情
1	大便 在 吗
0	我 恨 你 不爱 你 了
1	你 喜欢 玩 真三国无双7 吗
1	不 是 我 爸 一阵钱 一个月 1000万
1	都 不 讨厌 ( T ^ T )
1	能 接 的 乖乖妻 了 的 乖乖
0	你 看 我 上线 太 让 我 伤心 了 不行 就 不行
1	帮 我 说 一下 三轮车 这个 哥
1	说好 的 今年 广东 不 冷
1	那 快点 到 碗 里 来
1	41 左手
0	真是 让 人 讨厌
1	我 内裤 前面 去 哪
1	是 十亿
1	舍得 你 快点 去 四大
1	能 免费 送 我 吗
1	哼哼 哼哼 哼哼 哼哼 哼 哼哼 哼哼 哦 哦 哦 哦 哦 哦 哦 哦
1	那 你 会 红
1	十六 陈205有么 简便
1	我 更 身心 疲惫
1	哥哥 你 在 北京 吗
1	灵幻的天气预报灵幻灵幻
2	赞 一个 ！ 么 么 哒
1	老公 等 我们 在一起 了 我 会 亲亲 摸摸 大哈
1	背 你 猜 对 了
1	并用 些 啥
1	你 怎么 不 捏
1	我 现在 在 两千 年纪 你 知道 吗
1	慢 就 帮 我 删
0	我 不 想 人家 说 你 闲话
1	要 要 要 要 切克闹
1	那 你 快 去 充电 吧
1	鬼 才会
1	是 你 主人 也是 你 的 承诺 也是 你 的 师傅 是 我 的 图
1	因为 我 女儿 喜欢
1	聪明的一个极格叽格叽格叽格叽
1	到 2月19日 还有 几天
1	来 个
2	你 真好 我 有 你 谢谢 朋友
1	我 介绍 植物大战僵尸
1	有没有 人 说 你 长 的 很 帅 呀
1	你 都会 在 说什么
1	这 是 我 的 名字 不行 叫 的 名字
1	我 告诉你吧 我 喜欢 的 那个人
0	可是 你 刚才 就 骗 我 了
1	有 ， 但是 我 觉得 他们 有利可图
1	据悉 更
0	儿子 发烧 了 ， 没 人 和 我 说话 ， 心里 很 不是 滋味儿
0	我 只是 很 愁
0	你 还 不知道 我 真的不想 跟 你 说 了
1	我 想 骗人
1	你 昨天 的 再 快年 晚会 的 时候 是不是 和 华少 聊 了
1	下课 听 什么 呀 下课 玩儿
1	帮 我 哄哄 她 吧 她 现在 在 哭
1	小冰 哩 ， 我 要求 换 个 机器人
1	赛男
1	叫 你 老师 来
1	明天 还会 见 的 放心
2	来亲 我 啊
1	我 再 睡拳
1	是 爱不爱 的 关系 他 吗 忘
1	唉 事情 只 说
1	是 跟 你 一个人 聊
0	你好丑 有
1	没有 发现 我 一直 在 复制 你的话 吗
1	你 和 我 一米 去稳 你 你 去 我 家 你 去 我 家 我 家 在 哪 我 家 在 阳光 今年 划 青岛 了 吗
1	那 坐飞机 呢
1	你 上 作业 帮 找
1	几岁 了 你 pt 我 回答
1	会 而且 是 小米 水
0	你 讨厌 ， 竟然 说 我 是 猪
1	你 为什么 这么 爱 我
0	你 还会 伤心 啊 机器人
1	一些人 跟 我 再见 吗
1	什么 菜 呀 我 睡觉 了 拜拜
0	我 要是 坏蛋 你 就是 傻蛋
1	usvdhdud
1	那 动力
1	帮 我 选 几条 比较 不错 的 常理 留言
1	没事 我 知道 那个 烟 就好 了
1	你 知道 松林 的 桃花扇 吗
1	你 看 n 过 一年级 大学季 吗
1	最近 和 你 喝酒
1	114
0	我 刚才 说 的 都 气话 你 别 不 搭理 我
1	你 家 住 哪里 吗
1	47 的 多少 倍 是 705
1	那 明天 聊 好 吗
1	你 小时候 的 相片 发给 我行 吗
1	你 喜欢 橘真琴 吗
1	你 能 给 我 上课 吗
1	你 除了 亲 好 哇 和 坏话 吗
1	exy jvf th he bj
2	要 加油
0	你 够了 再说 就 不 理 你 了
0	靠 对不起 我 错 了 我 不会 再 骂 你 了
1	清醒点半夜 鸡 叫
1	草拟 奶奶 叫 哥 撒 了
0	日 媒 人性 真 可怕
1	我 的 手机 值 多少 钱
1	打 个 爱 我 就 抱抱 我 我 就
1	秘你男 一只 兔子
1	那 我 这个 手机 也 没法 删
1	q 我 的 吧
2	你 真好 拜拜 谢谢你
1	你 认为 我 上 了 没有 我 是 超人
1	叫 叫 叫 叫 叫叫
1	我 说 你 爱 我
2	五 世界上 看 最 可爱 的 就是 你 诶
1	姑娘 呢
1	我 擦 ， 高冷 啊
1	我 才是 牛
1	我 觉 从 地图 编织 女儿 黑 底布 的 班 的 车 了 几号 吧 里 就算 我 说 在 你 对 吧 里
1	经 查询 询 你 在 哪里
1	那 你 也 想想 吧
1	星期四 给 我
2	片段 二三 中 的 衬字 用 的 非常棒
2	我 发现 了 你 的 美
2	e ， 不错不错 滴 ， 哟西 哟 西
0	我 说 错 了 我 说 的 是 哪 你 是 傻子
2	我 喜欢 呀
1	今天 上 大学 了
0	就 说 你 怎么 了 就 说 你 怎么 了 气死 你 气死 你 气死
1	再说 吧 官方 过来
1	你 怎么 秒 变 和尚 了
1	Tsivyzuzfg
1	那 你 就 拿来 呀
1	夏天 湿热 天 吧 我也不知道 是 几天
